"ItemName","ItemId","RenderingName","RenderingPh","RenderingDS","RenderingId"
"care","{EC99527D-4040-42E7-9572-ED8F33EB5834}","CareersMetaDataBlock","headless-main","/sitecore/content/headapps/career/Home/care","{A26AA55C-6CB4-44EC-8B81-4D0CB7CB2E20}"
"care","{EC99527D-4040-42E7-9572-ED8F33EB5834}","HeroSection","headless-main","local:/Data/HeroSection","{B78678AA-202B-49A8-801A-9D118E38DD3F}"
"care","{EC99527D-4040-42E7-9572-ED8F33EB5834}","TextOnlyBlock","headless-main","local:/Data/PageTitle","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"care","{EC99527D-4040-42E7-9572-ED8F33EB5834}","TextOnlyBlock","headless-main","local:/Data/BenefitsBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"care","{EC99527D-4040-42E7-9572-ED8F33EB5834}","MasonryGallery","headless-main","local:/Data/CareMasonryGallery","{8643E475-A1BE-442D-8182-A00E5F423FBE}"
"food-and-beverage","{06A956A1-546D-4A17-8657-8A9FDD05531C}","CareersMetaDataBlock","headless-main","/sitecore/content/headapps/career/Home/food-and-beverage","{A26AA55C-6CB4-44EC-8B81-4D0CB7CB2E20}"
"food-and-beverage","{06A956A1-546D-4A17-8657-8A9FDD05531C}","HeroSection","headless-main","local:/Data/HeroSection","{B78678AA-202B-49A8-801A-9D118E38DD3F}"
"food-and-beverage","{06A956A1-546D-4A17-8657-8A9FDD05531C}","TextOnlyBlock","headless-main","local:/Data/PageTitle","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"food-and-beverage","{06A956A1-546D-4A17-8657-8A9FDD05531C}","TextOnlyBlock","headless-main","local:/Data/BenefitsBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"food-and-beverage","{06A956A1-546D-4A17-8657-8A9FDD05531C}","MasonryGallery","headless-main","local:/Data/FoodBeverageMasonryGallery","{8643E475-A1BE-442D-8182-A00E5F423FBE}"
"maintenance-and-housekeeping","{852D1910-2FFC-43F6-84A9-3EEC35655501}","CareersMetaDataBlock","headless-main","/sitecore/content/headapps/career/Home/management-and-administration","{A26AA55C-6CB4-44EC-8B81-4D0CB7CB2E20}"
"maintenance-and-housekeeping","{852D1910-2FFC-43F6-84A9-3EEC35655501}","HeroSection","headless-main","local:/Data/HeroSection","{B78678AA-202B-49A8-801A-9D118E38DD3F}"
"maintenance-and-housekeeping","{852D1910-2FFC-43F6-84A9-3EEC35655501}","TextOnlyBlock","headless-main","local:/Data/PageTitle","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"maintenance-and-housekeeping","{852D1910-2FFC-43F6-84A9-3EEC35655501}","TextOnlyBlock","headless-main","local:/Data/BenefitsBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"maintenance-and-housekeeping","{852D1910-2FFC-43F6-84A9-3EEC35655501}","MasonryGallery","headless-main","local:/Data/MaintenanceMasonryGallery","{8643E475-A1BE-442D-8182-A00E5F423FBE}"
"life-enrichment","{E0E48381-9FD5-4ABA-984A-239CEB55713D}","CareersMetaDataBlock","headless-main","/sitecore/content/headapps/career/Home/life-enrichment","{A26AA55C-6CB4-44EC-8B81-4D0CB7CB2E20}"
"life-enrichment","{E0E48381-9FD5-4ABA-984A-239CEB55713D}","HeroSection","headless-main","local:/Data/HeroSection","{B78678AA-202B-49A8-801A-9D118E38DD3F}"
"life-enrichment","{E0E48381-9FD5-4ABA-984A-239CEB55713D}","TextOnlyBlock","headless-main","local:/Data/PageTitle","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"life-enrichment","{E0E48381-9FD5-4ABA-984A-239CEB55713D}","TextOnlyBlock","headless-main","local:/Data/BenefitsBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"life-enrichment","{E0E48381-9FD5-4ABA-984A-239CEB55713D}","MasonryGallery","headless-main","local:/Data/LifeEnrichmentMasonryGallery","{8643E475-A1BE-442D-8182-A00E5F423FBE}"
"management-and-administration","{C13C72B6-0F51-4C26-81BB-F237ED0294AF}","CareersMetaDataBlock","headless-main","/sitecore/content/headapps/career/Home/management-and-administration","{A26AA55C-6CB4-44EC-8B81-4D0CB7CB2E20}"
"management-and-administration","{C13C72B6-0F51-4C26-81BB-F237ED0294AF}","HeroSection","headless-main","local:/Data/HeroSection","{B78678AA-202B-49A8-801A-9D118E38DD3F}"
"management-and-administration","{C13C72B6-0F51-4C26-81BB-F237ED0294AF}","TextOnlyBlock","headless-main","local:/Data/PageTitle","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"management-and-administration","{C13C72B6-0F51-4C26-81BB-F237ED0294AF}","TextOnlyBlock","headless-main","local:/Data/BenefitsBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"management-and-administration","{C13C72B6-0F51-4C26-81BB-F237ED0294AF}","MasonryGallery","headless-main","local:/Data/ManagementMasonryGallery","{8643E475-A1BE-442D-8182-A00E5F423FBE}"
"sales","{44C4FD4E-5870-435F-86F0-E7B7CA3A86FA}","CareersMetaDataBlock","headless-main","/sitecore/content/headapps/career/Home/sales","{A26AA55C-6CB4-44EC-8B81-4D0CB7CB2E20}"
"sales","{44C4FD4E-5870-435F-86F0-E7B7CA3A86FA}","HeroSection","headless-main","local:/Data/HeroSection","{B78678AA-202B-49A8-801A-9D118E38DD3F}"
"sales","{44C4FD4E-5870-435F-86F0-E7B7CA3A86FA}","TextOnlyBlock","headless-main","local:/Data/PageTitle","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
"sales","{44C4FD4E-5870-435F-86F0-E7B7CA3A86FA}","TextOnlyBlock","headless-main","local:/Data/BenefitsBlock","{6C736AA5-6C2C-4644-A0E8-A3F28AFB1ABC}"
